"Pathway Name","Accessibility in the BCPS"
"Pathway Description","All the things you need to be an A11Y."
"Content Warning",""
"Acknowledgments",""
"Created Date","2025-05-05T01:47:14.608Z"
"Total Steps","5"
""
"Step","Title","URL","Description","Context","Type","Content Type","Sort Order"
"Design Systems","Web Style Guide - Province of British Columbia","https://www2.gov.bc.ca/gov/content/governments/services-for-government/service-experience-digital-delivery/web-content-development-guides/web-style-guide","Standards for creating high quality web content for the B.C. government","Doesn't cover many of our use cases yet, but the web components bits are interesting to this curator.","Required","Read",""
